,b,epsp,alpha,Ec,Ev,Dn,Dp,gc,gv,N0,DIinf,EAI,Plim,inverted,dE,gcE,EcE,bE,epsE,DE,dH,gvH,EvH,bH,epsH,DH,tn,tp,vnE,vpE,vnH,vpH,ion_vmpp
130,3.0000000000000004e-07,30.0,20000000.0,-3.8,-5.4,1e-05,1e-05,9.999999999999999e+24,1e+24,1e+23,1.0000000000000002e-06,0.3,1e+26,1.0,5e+22,1e+24,-3.9,1e-07,3.0,1e-05,5e+22,9.999999999999999e+24,-5.25,1e-07,10.0,1e-05,1e-07,1e-08,1.0,1.0,1.0,1.0,0.9300000000000007
132,3.0000000000000004e-07,15.0,10000000.0,-3.8,-5.4,1e-05,1e-05,9.999999999999999e+24,1e+24,1e+23,1.0000000000000002e-06,0.3,1e+26,1.0,5e+22,1e+24,-3.9,1e-07,3.0,1e-05,5e+22,9.999999999999999e+24,-5.25,1e-07,10.0,1e-05,1e-07,1e-08,1.0,1.0,1.0,0.01,0.9150000000000003
133,5.000000000000001e-07,15.0,10000000.0,-3.8,-5.4,1e-05,1e-05,9.999999999999999e+24,1e+24,1e+23,1e-07,0.5,1e+28,0.0,5e+21,9.999999999999999e+24,-4.0,1e-08,10.0,9.999999999999999e-10,5e+21,1e+24,-5.15,1e-08,3.0,9.999999999999999e-10,1e-08,1e-07,0.01,0.01,0.01,1.0,0.93
135,5.000000000000001e-07,30.0,10000000.0,-3.8,-5.4,1e-05,1e-05,9.999999999999999e+24,1e+24,1e+23,1.0000000000000002e-06,0.3,1e+26,1.0,5e+22,1e+24,-3.9,1e-07,3.0,1e-05,5e+22,9.999999999999999e+24,-5.25,1e-07,10.0,1e-05,1e-07,1e-08,1.0,1.0,1.0,0.01,0.8999999999999998
138,3.0000000000000004e-07,30.0,20000000.0,-3.75,-5.4,1e-05,1e-05,9.999999999999999e+24,1e+24,1e+23,1e-07,0.5,1e+28,0.0,5e+21,9.999999999999999e+24,-4.0,1e-08,10.0,9.999999999999999e-10,5e+21,1e+24,-5.15,1e-08,3.0,1e-05,1e-07,1e-08,1.0,1.0,1.0,0.01,0.9450000000000005
141,5.000000000000001e-07,15.0,10000000.0,-3.75,-5.4,1e-05,1e-05,9.999999999999999e+24,1e+24,1e+23,1.0000000000000002e-06,0.3,1e+26,1.0,5e+22,1e+24,-3.9,1e-07,3.0,1e-05,5e+22,9.999999999999999e+24,-5.25,1e-07,10.0,9.999999999999999e-10,1e-08,1e-07,0.01,0.01,0.01,0.01,1.05
143,5.000000000000001e-07,30.0,10000000.0,-3.75,-5.4,1e-05,1e-05,9.999999999999999e+24,1e+24,1e+23,1e-07,0.5,1e+28,0.0,5e+21,9.999999999999999e+24,-4.0,1e-08,10.0,9.999999999999999e-10,5e+21,1e+24,-5.15,1e-08,3.0,1e-05,1e-07,1e-08,1.0,1.0,1.0,1.0,0.9449999999999998
144,3.0000000000000004e-07,15.0,20000000.0,-3.8,-5.35,1e-05,1e-05,9.999999999999999e+24,1e+24,1e+23,1.0000000000000002e-06,0.3,1e+26,1.0,5e+22,1e+24,-3.9,1e-07,3.0,1e-05,5e+21,1e+24,-5.15,1e-08,3.0,1e-05,1e-07,1e-08,1.0,1.0,0.01,1.0,0.9749999999999999
147,5.000000000000001e-07,30.0,20000000.0,-3.8,-5.35,1e-05,1e-05,9.999999999999999e+24,1e+24,1e+23,1.0000000000000002e-06,0.3,1e+26,1.0,5e+22,1e+24,-3.9,1e-07,3.0,1e-05,5e+21,1e+24,-5.15,1e-08,3.0,1e-05,1e-07,1e-08,1.0,1.0,0.01,1.0,0.9600000000000001
149,5.000000000000001e-07,15.0,10000000.0,-3.8,-5.35,1e-05,1e-05,9.999999999999999e+24,1e+24,1e+23,1.0000000000000002e-06,0.3,1e+26,1.0,5e+22,1e+24,-3.9,1e-07,3.0,1e-05,5e+21,1e+24,-5.15,1e-08,3.0,1e-05,1e-07,1e-08,1.0,1.0,0.01,0.01,0.9600000000000001
